SampleID,Tissue,Treatment,Replicate,bamReads,Peaks,PeakCaller
N1_H3K27Ac,N,H3K27Ac,1,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_N1-H3K27Ac-cutrun_R1.fastq_nochrM_nodup_qffilter.bam,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_N1-H3K27Ac-cutrun_R1.fastq_nochrM_nodup_qffilter_uniqpeak_peaks_noBL.narrowPeak,bed
N3_H3K27Ac,N,H3K27Ac,2,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_N3-H3K27Ac-cutrun_R1.fastq_nochrM_nodup_qffilter.bam,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_N3-H3K27Ac-cutrun_R1.fastq_nochrM_nodup_qffilter_uniqpeak_peaks_noBL.narrowPeak,bed
R1_H3K27Ac,R,H3K27Ac,1,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_R_1-H3K27Ac-cutrun_R1.fastq_nochrM_nodup_qffilter.bam,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_R_1-H3K27Ac-cutrun_R1.fastq_nochrM_nodup_qffilter_uniqpeak_peaks_noBL.narrowPeak,bed
R4_H3K27Ac,R,H3K27Ac,2,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_R4-H3K27Ac-cutrun_R1.fastq_nochrM_nodup_qffilter.bam,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_R4-H3K27Ac-cutrun_R1.fastq_nochrM_nodup_qffilter_uniqpeak_peaks_noBL.narrowPeak,bed
S1_H3K27Ac,S,H3K27Ac,1,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_S1-H3K27Ac-cutrun_R1.fastq_nochrM_nodup_qffilter.bam,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_S1-H3K27Ac-cutrun_R1.fastq_nochrM_nodup_qffilter_uniqpeak_peaks_noBL.narrowPeak,bed
S2_H3K27Ac,S,H3K27Ac,2,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_S2-H3K27Ac-cutrun_R1.fastq_nochrM_nodup_qffilter.bam,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_S2-H3K27Ac-cutrun_R1.fastq_nochrM_nodup_qffilter_uniqpeak_peaks_noBL.narrowPeak,bed
N1_H3K4Me3,N,H3K4Me3,1,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_N1-H3K4Me3-cutrun_R1.fastq_nochrM_nodup_qffilter.bam,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_N1-H3K4Me3-cutrun_R1.fastq_nochrM_nodup_qffilter_uniqpeak_peaks_noBL.narrowPeak,bed
N3_H3K4Me3,N,H3K4Me3,2,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_N3-H3K4Me3-cutrun_R1.fastq_nochrM_nodup_qffilter.bam,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_N3-H3K4Me3-cutrun_R1.fastq_nochrM_nodup_qffilter_uniqpeak_peaks_noBL.narrowPeak,bed
R1_H3K4Me3,R,H3K4Me3,1,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_R_1-H3K4Me3-cutrun_R1.fastq_nochrM_nodup_qffilter.bam,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_R_1-H3K4Me3-cutrun_R1.fastq_nochrM_nodup_qffilter_uniqpeak_peaks_noBL.narrowPeak,bed
R4_H3K4Me3,R,H3K4Me3,2,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_R4-H3K4Me3-cutrun_R1.fastq_nochrM_nodup_qffilter.bam,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_R4-H3K4Me3-cutrun_R1.fastq_nochrM_nodup_qffilter_uniqpeak_peaks_noBL.narrowPeak,bed
S1_H3K4Me3,S,H3K4Me3,1,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_S1-H3K4Me3-cutrun_R1.fastq_nochrM_nodup_qffilter.bam,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_S1-H3K4Me3-cutrun_R1.fastq_nochrM_nodup_qffilter_uniqpeak_peaks_noBL.narrowPeak,bed
S2_H3K4Me3,S,H3K4Me3,2,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_S2-H3K4Me3-cutrun_R1.fastq_nochrM_nodup_qffilter.bam,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_S2-H3K4Me3-cutrun_R1.fastq_nochrM_nodup_qffilter_uniqpeak_peaks_noBL.narrowPeak,bed
R1_H3K27Me3,R,H3K27Me3,1,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_R_1-H3K27Me3-cutrun_R1.fastq_nochrM_nodup_qffilter.bam,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_R_1-H3K27Me3-cutrun_R1.fastq_nochrM_nodup_qffilter_peaks.broadPeak,bed
N1_H3K27Me3,N,H3K27Me3,1,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_N1-H3K27Me3-cutrun_R1.fastq_nochrM_nodup_qffilter.bam,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_N1-H3K27Me3-cutrun_R1.fastq_nochrM_nodup_qffilter_peaks.broadPeak,bed
N3_H3K27Me3,N,H3K27Me3,2,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_N3-H3K27Me3-cutrun_R1.fastq_nochrM_nodup_qffilter.bam,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_N3-H3K27Me3-cutrun_R1.fastq_nochrM_nodup_qffilter_peaks.broadPeak,bed
R4_H3K27Me3,R,H3K27Me3,2,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_R4-H3K27Me3-cutrun_R1.fastq_nochrM_nodup_qffilter.bam,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_R4-H3K27Me3-cutrun_R1.fastq_nochrM_nodup_qffilter_peaks.broadPeak,bed
S1_H3K27Me3,S,H3K27Me3,1,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_S1-H3K27Me3-cutrun_R1.fastq_nochrM_nodup_qffilter.bam,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_S1-H3K27Me3-cutrun_R1.fastq_nochrM_nodup_qffilter_peaks.broadPeak,bed
S2_H3K27Me3,S,H3K27Me3,2,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_S2-H3K27Me3-cutrun_R1.fastq_nochrM_nodup_qffilter.bam,/scratch/jharrison/Seongmi/cutandrun/Seongmi/WangT_CutRun/aligned/Trimmed_WangT_S2-H3K27Me3-cutrun_R1.fastq_nochrM_nodup_qffilter_peaks.broadPeak,bed
